,line_id,order_id,order_date,order_timestamp,store_id,sku,quantity,product_style,product_category,product_size,product_list_price,line_total,parent_line_id,original_order_id,order_type,order_type_original
22,3D0000017460,3D01013452,2018-04-29 00:00:00,2018-04-29 15:54:05,33,10891083,1,220527,22,10,298.0,298.0,,3D01013452,1,1.0
24,3D0000017465,3D01013456,2018-04-29 00:00:00,2018-04-29 16:20:20,33,11021529,1,238751,22, 9½,150.0,150.0,,3D01013456,1,1.0
25,3D0000017471,3D01013460,2018-04-29 00:00:00,2018-04-29 16:40:27,33,11021813,1,238806,22,11½,170.0,170.0,,3D01013460,1,1.0
26,3D0000017473,3D01013462,2018-04-29 00:00:00,2018-04-29 16:55:21,33,10996559,1,235468,22,10,130.0,110.5,,3D01013462,1,1.0
27,2F0000004748,2F01003490,2018-04-29 00:00:00,2018-04-29 17:02:07,25,10974611,1,232549,22,11,150.0,150.0,,2F01003490,1,
28,3D0000017491,3D01013474,2018-04-29 00:00:00,2018-04-29 18:13:01,33,11027591,1,239641,22, 8,128.0,128.0,,3D01013474,1,1.0
29,3D0000017492,3D01013474,2018-04-29 00:00:00,2018-04-29 18:13:01,33,10984421,1,233824,22, 8,275.0,275.0,,3D01013474,1,1.0
30,3D0000017494,3D01013475,2018-04-29 00:00:00,2018-04-29 18:19:47,33,11014192,1,237736,22, 9,120.0,108.0,,3D01013475,1,1.0
31,1B0000033981,1B01023415,2018-04-30 00:00:00,2018-04-30 10:44:04,11,11016386,1,238091,22, 8½,130.0,130.0,,1B01023415,1,
32,0F0000073162,0F01049947,2018-04-30 00:00:00,2018-04-30 10:57:52,5,11024836,1,239197,22, 8,120.0,120.0,,0F01049947,1,1.0
33,1B0000034002,1B01023429,2018-04-30 00:00:00,2018-04-30 12:15:12,11,11023652,1,239041,22, 9,125.0,125.0,,1B01023429,1,1.0
35,3E0000019094,3E01013273,2018-04-30 00:00:00,2018-04-30 13:24:00,34,10974590,1,232548,22, 7,150.0,150.0,,3E01013273,1,1.0
36,3E0000019098,3E01013276,2018-04-30 00:00:00,2018-04-30 14:03:50,34,11023022,1,238989,22,10,80.0,80.0,,3E01013276,1,1.0
37,2F0000004768,2F01003505,2018-04-30 00:00:00,2018-04-30 14:57:56,25,10959741,1,230456,22, 9,168.0,168.0,,2F01003505,1,1.0
38,3E0000019102,3E01013279,2018-04-30 00:00:00,2018-04-30 15:02:15,34,10716845,1,195284,22, 8½,125.0,125.0,,3E01013279,1,1.0
39,3E0000019103,3E01013281,2018-04-30 00:00:00,2018-04-30 15:59:39,34,11022942,1,238982,22, 9,80.0,80.0,,3E01013281,1,1.0
40,1B0000034066,1B01023478,2018-04-30 00:00:00,2018-04-30 16:38:38,11,10998245,1,235715,22,10,190.0,190.0,,1B01023478,1,1.0
41,0F0000073286,0F01050038,2018-04-30 00:00:00,2018-04-30 17:24:26,5,11020031,1,238502,22,10,175.0,175.0,,0F01050038,1,1.0
42,0F0000073291,0F01050042,2018-04-30 00:00:00,2018-04-30 17:41:32,5,11016481,1,238098,22,10½,140.0,140.0,,0F01050042,1,1.0
43,3E0000019112,3E01013287,2018-04-30 00:00:00,2018-04-30 18:52:32,34,10760510,1,201581,22,10,65.0,65.0,,3E01013287,1,1.0
44,3D0000017538,3D01013505,2018-04-30 00:00:00,2018-04-30 18:58:16,33,11026767,1,239506,22,12,158.0,158.0,,3D01013505,1,1.0
45,3D0000017541,3D01013507,2018-04-30 00:00:00,2018-04-30 19:02:32,33,10834853,1,212399,22,11,150.0,150.0,,3D01013507,1,1.0
46,2F0000004805,2F01003524,2018-04-30 00:00:00,2018-04-30 19:23:28,25,11016417,1,238093,22,11,55.0,55.0,,2F01003524,1,1.0
47,3D0000017551,3D01013517,2018-04-30 00:00:00,2018-04-30 20:26:02,33,11029362,1,239916,22,10½,120.0,120.0,,3D01013517,1,1.0
48,3D0000017559,3D01013524,2018-05-01 00:00:00,2018-05-01 11:16:03,33,11014180,1,237735,22, 9½,120.0,108.0,,3D01013524,1,1.0
49,3D0000017569,3D01013532,2018-05-01 00:00:00,2018-05-01 14:09:49,33,11026776,1,239508,22,11,158.0,158.0,,3D01013532,1,1.0
50,3D0000017584,3D01013542,2018-05-01 00:00:00,2018-05-01 17:01:39,33,11026479,1,239452,22,11½,115.0,115.0,,3D01013542,1,1.0
51,1B0000034209,1B01023563,2018-05-01 00:00:00,2018-05-01 18:37:56,11,10716846,1,195284,22, 9,125.0,125.0,,1B01023563,1,1.0
52,0F0000073550,0F01050221,2018-05-01 00:00:00,2018-05-01 18:56:13,5,10976424,1,232754,22, 9½,110.0,110.0,,0F01050221,1,1.0
53,1B0000034213,1B01023567,2018-05-01 00:00:00,2018-05-01 18:57:27,11,10895364,1,221055,22, 9½,230.0,230.0,,1B01023567,1,1.0
54,1B0000034214,1B01023567,2018-05-01 00:00:00,2018-05-01 18:57:27,11,11027110,1,239561,22,10,128.0,128.0,,1B01023567,1,1.0
55,3E0000019153,3E01013315,2018-05-01 00:00:00,2018-05-01 18:57:39,34,10954836,1,229854,22, 9,178.0,178.0,,3E01013315,1,
56,3E0000019156,3E01013316,2018-05-01 00:00:00,2018-05-01 19:01:51,34,11005215,1,236740,22, 9,128.0,128.0,,3E01013316,1,1.0
57,BB0000011843,BB01008075,2018-05-01 00:00:00,2018-05-01 19:09:52,11,10928121,1,225869,22, 8½,125.0,125.0,,BB01008075,1,1.0
58,3E0000019162,3E01013317,2018-05-01 00:00:00,2018-05-01 19:10:14,34,10924842,1,225369,22, 9½,110.0,110.0,,3E01013317,1,1.0
59,0F0000073554,0F01050225,2018-05-01 00:00:00,2018-05-01 19:24:44,5,10919624,1,224700,22,11,45.0,45.0,,0F01050225,1,1.0
60,0F0000073555,0F01050225,2018-05-01 00:00:00,2018-05-01 19:24:44,5,11016633,1,238103,22, 9½,90.0,90.0,,0F01050225,1,1.0
61,0F0000073559,0F01050229,2018-05-01 00:00:00,2018-05-01 19:40:39,5,11053640,1,243268,22,10,160.0,160.0,,0F01050229,1,1.0
62,0F0000073560,0F01050230,2018-05-01 00:00:00,2018-05-01 19:47:40,5,10973509,1,232423,22,10½,160.0,160.0,,0F01050230,1,1.0
63,0F0000073571,0F01050238,2018-05-01 00:00:00,2018-05-01 20:06:23,5,10914699,1,224130,22, 7,298.0,298.0,,0F01050238,1,1.0
64,AF0000032034,AF01021914,2018-05-01 00:00:00,2018-05-01 20:16:49,5,11021710,1,238788,22,11,55.0,55.0,,AF01021914,1,1.0
65,0F0000073573,0F01050240,2018-05-01 00:00:00,2018-05-01 20:20:47,5,11026791,1,239513,22,12,158.0,158.0,,0F01050240,1,1.0
66,AF0000032051,AF01021933,2018-05-02 00:00:00,2018-05-02 11:21:19,5,10955611,1,229934,22,10,128.0,128.0,,AF01021933,1,1.0
68,AF0000032070,AF01021948,2018-05-02 00:00:00,2018-05-02 13:29:01,5,10834850,1,212399,22, 9½,150.0,150.0,,AF01021948,1,1.0
69,0F0000073680,0F01050317,2018-05-02 00:00:00,2018-05-02 14:56:46,5,11029357,1,239916,22, 8,120.0,120.0,,0F01050317,1,1.0
70,AF0000032091,AF01021962,2018-05-02 00:00:00,2018-05-02 15:46:50,5,11014474,1,237760,22,11,45.0,45.0,,AF01021962,1,1.0
71,AF0000032092,AF01021962,2018-05-02 00:00:00,2018-05-02 15:46:50,5,11014465,1,237759,22,10,42.0,42.0,,AF01021962,1,1.0
72,0F0000073708,0F01050337,2018-05-02 00:00:00,2018-05-02 16:50:35,5,10973418,1,232415,22,10½,150.0,150.0,,0F01050337,1,1.0
73,3D0000017653,3D01013594,2018-05-02 00:00:00,2018-05-02 18:07:25,33,11021710,1,238788,22,11,55.0,55.0,,3D01013594,1,1.0
74,3D0000017657,3D01013597,2018-05-02 00:00:00,2018-05-02 18:18:27,33,11027593,1,239641,22,10,128.0,128.0,,3D01013597,1,1.0
75,3E0000019194,3E01013344,2018-05-02 00:00:00,2018-05-02 18:56:05,34,10919614,1,224699,22, 8,45.0,45.0,,3E01013344,1,1.0
76,2F0000004902,2F01003598,2018-05-02 00:00:00,2018-05-02 19:22:26,25,11014241,1,237739,22,10,110.0,110.0,,2F01003598,1,1.0
77,3D0000017666,3D01013604,2018-05-02 00:00:00,2018-05-02 19:50:30,33,10922150,1,225006,22,10,95.0,95.0,,3D01013604,1,
78,3D0000017667,3D01013604,2018-05-02 00:00:00,2018-05-02 19:50:30,33,11020074,1,238507,22,10,90.0,90.0,,3D01013604,1,
79,2F0000004908,2F01003601,2018-05-02 00:00:00,2018-05-02 19:59:53,25,11011695,1,237462,22, 9½,100.0,100.0,,2F01003601,1,1.0
80,2F0000004912,2F01003603,2018-05-02 00:00:00,2018-05-02 20:38:21,25,10833997,1,212268,22, 8,125.0,125.0,,2F01003603,1,1.0
81,3D0000017682,3D01013614,2018-05-02 00:00:00,2018-05-02 20:46:00,33,10830136,1,211738,22, 9,100.0,100.0,,3D01013614,1,1.0
82,0F0000073771,0F01050385,2018-05-03 00:00:00,2018-05-03 10:40:12,5,11014304,1,237747,22, 9,180.0,144.0,,0F01050385,1,1.0
83,0F0000073790,0F01050397,2018-05-03 00:00:00,2018-05-03 11:16:49,5,11021769,1,238800,22, 9½,170.0,170.0,,0F01050397,1,1.0
84,2I0000000019,2I01000016,2018-05-03 00:00:00,2018-05-03 13:44:17,28,11020977,1,238650,22,11,195.0,195.0,,2I01000016,1,1.0
85,3E0000019233,3E01013369,2018-05-03 00:00:00,2018-05-03 14:55:32,34,11005344,1,236823,22, 8,168.0,168.0,,3E01013369,1,1.0
86,3E0000019234,3E01013369,2018-05-03 00:00:00,2018-05-03 14:55:32,34,11020927,1,238663,22, 8,195.0,195.0,,3E01013369,1,1.0
87,3E0000019240,3E01013373,2018-05-03 00:00:00,2018-05-03 15:50:50,34,10954880,1,229860,22,11,158.0,158.0,,3E01013373,1,1.0
88,AF0000032147,AF01021998,2018-05-03 00:00:00,2018-05-03 15:52:22,5,11027133,1,239510,22,10,168.0,168.0,,AF01021998,1,1.0
89,0F0000073911,0F01050480,2018-05-03 00:00:00,2018-05-03 16:49:57,5,11014349,1,237750,22,11½,160.0,128.0,,0F01050480,1,1.0
90,0F0000073913,0F01050480,2018-05-03 00:00:00,2018-05-03 16:49:57,5,10924844,1,225369,22,10½,110.0,110.0,,0F01050480,1,1.0
91,2I0000000044,2I01000035,2018-05-03 00:00:00,2018-05-03 16:58:35,28,10919616,1,224699,22,10,45.0,45.0,,2I01000035,1,
92,3E0000019249,3E01013379,2018-05-03 00:00:00,2018-05-03 17:45:24,34,10958047,1,230357,22, 9,298.0,298.0,,3E01013379,1,1.0
93,2I0000000052,2I01000043,2018-05-03 00:00:00,2018-05-03 17:55:19,28,10919616,-1,224699,22,10,45.0,-45.0,2I0000000044,2I01000035,1,
94,3D0000017717,3D01013639,2018-05-03 00:00:00,2018-05-03 18:39:47,33,10972600,1,232251,22,10,160.0,144.0,,3D01013639,1,1.0
95,3E0000019262,3E01013387,2018-05-03 00:00:00,2018-05-03 19:16:58,34,10855569,1,215487,22, 7,195.0,195.0,,3E01013387,1,1.0
96,3D0000017724,3D01013646,2018-05-03 00:00:00,2018-05-03 19:22:07,33,10996556,1,235468,22, 8½,130.0,110.5,,3D01013646,1,1.0
97,3E0000019268,3E01013389,2018-05-03 00:00:00,2018-05-03 19:38:03,34,10954889,1,229861,22,13,158.0,158.0,,3E01013389,1,1.0
98,3E0000019270,3E01013391,2018-05-03 00:00:00,2018-05-03 19:48:47,34,11020863,1,238656,22, 9,195.0,195.0,,3E01013391,1,
99,2I0000000059,2I01000049,2018-05-03 00:00:00,2018-05-03 20:05:22,28,10924839,1,225369,22, 8,110.0,110.0,,2I01000049,1,1.0
100,2I0000000060,2I01000050,2018-05-03 00:00:00,2018-05-03 20:30:27,28,11020049,1,238505,22, 8,175.0,175.0,,2I01000050,1,1.0
101,2I0000000061,2I01000051,2018-05-03 00:00:00,2018-05-03 20:45:46,28,10825060,1,210863,22, 8½,100.0,100.0,,2I01000051,1,1.0
102,2I0000000062,2I01000052,2018-05-03 00:00:00,2018-05-03 21:04:26,28,11026772,1,239508,22, 7,158.0,158.0,,2I01000052,1,1.0
103,2I0000000063,2I01000052,2018-05-03 00:00:00,2018-05-03 21:04:26,28,11027022,1,239558,22, 7,128.0,128.0,,2I01000052,1,1.0
104,0F0000074007,0F01050556,2018-05-04 00:00:00,2018-05-04 10:25:11,5,11021807,1,238806,22, 9½,170.0,170.0,,0F01050556,1,1.0
105,AF0000032162,AF01022010,2018-05-04 00:00:00,2018-05-04 10:40:55,5,10875780,1,218248,22,11,115.0,115.0,,AF01022010,1,1.0
106,2F0000004977,2F01003653,2018-05-04 00:00:00,2018-05-04 11:02:44,25,10982321,1,233547,22,11,128.0,128.0,,2F01003653,1,1.0
107,0F0000074032,0F01050573,2018-05-04 00:00:00,2018-05-04 11:42:00,5,11017225,1,238156,22,10,85.0,76.5,,0F01050573,1,1.0
108,0F0000074033,0F01050573,2018-05-04 00:00:00,2018-05-04 11:42:00,5,10966688,1,231300,22,11,110.0,110.0,,0F01050573,1,1.0
109,2I0000000066,2I01000055,2018-05-04 00:00:00,2018-05-04 12:05:55,28,10939303,1,227520,22,12,90.0,90.0,,2I01000055,1,1.0
110,2I0000000067,2I01000055,2018-05-04 00:00:00,2018-05-04 12:05:55,28,11027062,1,239563,22,11,128.0,128.0,,2I01000055,1,1.0
111,3E0000019314,3E01013420,2018-05-04 00:00:00,2018-05-04 13:41:22,34,10954836,-1,229854,22, 9,178.0,-178.0,3E0000019153,3E01013315,1,
112,2I0000000074,2I01000060,2018-05-04 00:00:00,2018-05-04 14:19:25,28,11016590,1,238110,22, 7½,130.0,130.0,,2I01000060,1,1.0
113,3D0000017748,3D01013662,2018-05-04 00:00:00,2018-05-04 14:22:14,33,10922150,-1,225006,22,10,95.0,-95.0,3D0000017666,3D01013604,2,
114,3D0000017749,3D01013662,2018-05-04 00:00:00,2018-05-04 14:22:14,33,11020074,-1,238507,22,10,90.0,-90.0,3D0000017667,3D01013604,2,
115,3D0000017750,3D01013663,2018-05-04 00:00:00,2018-05-04 14:25:15,33,11020075,1,238507,22,11,90.0,90.0,,3D01013663,1,1.0
116,2I0000000077,2I01000063,2018-05-04 00:00:00,2018-05-04 15:06:26,28,11014245,1,237739,22,12,110.0,110.0,,2I01000063,1,1.0
117,0F0000074147,0F01050654,2018-05-04 00:00:00,2018-05-04 15:48:40,5,10976515,1,232770,22,10,200.0,200.0,,0F01050654,1,1.0
118,AF0000032199,AF01022039,2018-05-04 00:00:00,2018-05-04 15:53:04,5,11048631,1,242555,22, 9,220.0,220.0,,AF01022039,1,1.0
119,3D0000017771,3D01013680,2018-05-04 00:00:00,2018-05-04 16:59:09,33,11014464,1,237759,22, 9,42.0,42.0,,3D01013680,1,1.0
120,3D0000017772,3D01013680,2018-05-04 00:00:00,2018-05-04 16:59:09,33,11026595,1,239470,22,10,90.0,90.0,,3D01013680,1,1.0
121,0F0000074180,0F01050673,2018-05-04 00:00:00,2018-05-04 17:04:46,5,11020848,1,238654,22,10,225.0,225.0,,0F01050673,1,1.0
122,0F0000074181,0F01050674,2018-05-04 00:00:00,2018-05-04 17:09:15,5,11020975,1,238650,22, 9,195.0,195.0,,0F01050674,1,1.0
123,0F0000074183,0F01050674,2018-05-04 00:00:00,2018-05-04 17:09:15,5,11034292,1,240577,22, 8,375.0,350.0,,0F01050674,1,1.0
124,0F0000074187,0F01050675,2018-05-04 00:00:00,2018-05-04 17:10:36,5,11016661,1,238107,22,10½,100.0,100.0,,0F01050675,1,1.0
125,2I0000000088,2I01000070,2018-05-04 00:00:00,2018-05-04 17:19:28,28,11025630,1,239328,22,12,110.0,110.0,,2I01000070,1,1.0
126,0F0000074204,0F01050681,2018-05-04 00:00:00,2018-05-04 17:39:22,5,11018986,1,238416,22, 9,140.0,140.0,,0F01050681,1,1.0
127,3E0000019361,3E01013448,2018-05-04 00:00:00,2018-05-04 18:31:47,34,10974585,1,232547,22,11,150.0,150.0,,3E01013448,1,1.0
128,3E0000019362,3E01013449,2018-05-04 00:00:00,2018-05-04 18:33:59,34,10751818,1,200383,22,10½,125.0,125.0,,3E01013449,1,1.0
129,0F0000074281,0F01050736,2018-05-04 00:00:00,2018-05-04 20:15:51,5,11026480,1,239452,22,12,115.0,115.0,,0F01050736,1,1.0
130,AF0000032286,AF01022096,2018-05-04 00:00:00,2018-05-04 20:39:17,5,10846665,1,213997,22, 8,85.0,85.0,,AF01022096,1,1.0
131,0F0000074341,0F01050773,2018-05-05 00:00:00,2018-05-05 10:35:42,5,11021884,1,238812,22, 9,130.0,130.0,,0F01050773,1,1.0
132,3E0000019396,3E01013470,2018-05-05 00:00:00,2018-05-05 11:11:04,34,10662833,1,187466,22,12,125.0,125.0,,3E01013470,1,1.0
133,3E0000019398,3E01013472,2018-05-05 00:00:00,2018-05-05 11:18:00,34,11022742,1,238959,22, 9,220.0,220.0,,3E01013472,1,1.0
134,AF0000032300,AF01022105,2018-05-05 00:00:00,2018-05-05 11:25:16,5,11022899,1,238978,22,10½,200.0,200.0,,AF01022105,1,1.0
135,AF0000032301,AF01022105,2018-05-05 00:00:00,2018-05-05 11:25:16,5,10895365,1,221055,22,10,230.0,230.0,,AF01022105,1,1.0
136,2I0000000136,2I01000100,2018-05-05 00:00:00,2018-05-05 12:16:04,28,11016758,1,238123,22,10½,140.0,140.0,,2I01000100,1,1.0
137,0F0000074402,0F01050814,2018-05-05 00:00:00,2018-05-05 12:23:05,5,10924839,1,225369,22, 8,110.0,110.0,,0F01050814,1,1.0
138,2I0000000139,2I01000102,2018-05-05 00:00:00,2018-05-05 12:49:58,28,10700765,1,192880,22, 7,168.0,168.0,,2I01000102,1,1.0
139,3E0000019427,3E01013485,2018-05-05 00:00:00,2018-05-05 13:04:39,34,10998316,1,235727,22,10½,160.0,160.0,,3E01013485,1,1.0
140,0F0000074462,0F01050853,2018-05-05 00:00:00,2018-05-05 13:56:49,5,10895403,1,221060,22, 8½,75.0,75.0,,0F01050853,1,1.0
142,2F0000005101,2F01003734,2018-05-05 00:00:00,2018-05-05 14:02:07,25,10954888,1,229861,22,12,158.0,158.0,,2F01003734,1,1.0
143,3E0000019455,3E01013503,2018-05-05 00:00:00,2018-05-05 14:48:35,34,10794334,1,206411,22, 8,150.0,150.0,,3E01013503,1,1.0
144,2I0000000164,2I01000116,2018-05-05 00:00:00,2018-05-05 14:54:55,28,10903593,1,222424,22,10,178.0,178.0,,2I01000116,1,
145,2I0000000167,2I01000118,2018-05-05 00:00:00,2018-05-05 15:16:48,28,10711333,1,194518,22,10,150.0,150.0,,2I01000118,1,1.0
146,0F0000074529,0F01050902,2018-05-05 00:00:00,2018-05-05 15:34:26,5,10825059,1,210863,22, 8,100.0,100.0,,0F01050902,1,1.0
147,2I0000000171,2I01000121,2018-05-05 00:00:00,2018-05-05 15:42:08,28,11026500,1,239451,22, 9,120.0,120.0,,2I01000121,1,1.0
148,AF0000032396,AF01022169,2018-05-05 00:00:00,2018-05-05 15:42:40,5,11020847,1,238654,22, 9,225.0,225.0,,AF01022169,1,1.0
149,2I0000000173,2I01000123,2018-05-05 00:00:00,2018-05-05 16:08:38,28,10982409,1,233566,22, 9,168.0,168.0,,2I01000123,1,1.0
150,2I0000000177,2I01000124,2018-05-05 00:00:00,2018-05-05 16:11:33,28,11021300,1,238707,22,10½,200.0,200.0,,2I01000124,1,1.0
151,3E0000019470,3E01013513,2018-05-05 00:00:00,2018-05-05 16:25:14,34,11014502,1,237762,22, 9½,140.0,140.0,,3E01013513,1,1.0
152,2I0000000190,2I01000131,2018-05-05 00:00:00,2018-05-05 16:57:22,28,10932187,1,226494,22,11,45.0,45.0,,2I01000131,1,1.0
153,3E0000019475,3E01013516,2018-05-05 00:00:00,2018-05-05 17:05:10,34,11016454,1,238096,22,10,120.0,120.0,,3E01013516,1,1.0
154,0F0000074597,0F01050945,2018-05-05 00:00:00,2018-05-05 17:10:39,5,11016428,1,238094,22,10,55.0,55.0,,0F01050945,1,1.0
155,0F0000074599,0F01050945,2018-05-05 00:00:00,2018-05-05 17:10:39,5,10898799,1,221545,22,10,200.0,200.0,,0F01050945,1,1.0
156,3E0000019476,3E01013517,2018-05-05 00:00:00,2018-05-05 17:12:32,34,10976659,1,232781,22,11,200.0,200.0,,3E01013517,1,1.0
157,3D0000017887,3D01013774,2018-05-05 00:00:00,2018-05-05 19:40:31,33,11020866,1,238656,22,12,195.0,195.0,,3D01013774,1,
158,2I0000000231,2I01000161,2018-05-06 00:00:00,2018-05-06 11:11:12,28,11016487,1,238099,22, 7,140.0,140.0,,2I01000161,1,1.0
159,AF0000032498,AF01022227,2018-05-06 00:00:00,2018-05-06 12:26:32,5,11017252,1,238159,22,10½,75.0,67.5,,AF01022227,1,1.0
160,2I0000000236,2I01000165,2018-05-06 00:00:00,2018-05-06 12:26:58,28,10976426,1,232754,22,10½,110.0,110.0,,2I01000165,1,1.0
161,2I0000000237,2I01000165,2018-05-06 00:00:00,2018-05-06 12:26:58,28,10965581,1,231119,22,10,175.0,175.0,,2I01000165,1,1.0
162,2F0000005176,2F01003783,2018-05-06 00:00:00,2018-05-06 13:08:08,25,10976642,1,232780,22, 9,200.0,200.0,,2F01003783,1,1.0
163,2F0000005177,2F01003783,2018-05-06 00:00:00,2018-05-06 13:08:08,25,10974580,1,232547,22, 8½,150.0,150.0,,2F01003783,1,1.0
164,2I0000000245,2I01000171,2018-05-06 00:00:00,2018-05-06 13:17:04,28,10919624,1,224700,22,11,45.0,45.0,,2I01000171,1,
166,2F0000005180,2F01003785,2018-05-06 00:00:00,2018-05-06 13:19:46,25,11021848,1,238809,22,10½,170.0,170.0,,2F01003785,1,1.0
167,3D0000017912,3D01013798,2018-05-06 00:00:00,2018-05-06 13:25:28,33,11013934,1,237716,22,10½,170.0,170.0,,3D01013798,1,1.0
168,AF0000032525,AF01022245,2018-05-06 00:00:00,2018-05-06 13:29:22,5,11020315,1,238571,22,11,50.0,50.0,,AF01022245,1,1.0
169,0F0000074704,0F01051014,2018-05-06 00:00:00,2018-05-06 13:30:11,5,10877239,1,218569,22, 9,225.0,225.0,,0F01051014,1,1.0
170,0F0000074705,0F01051014,2018-05-06 00:00:00,2018-05-06 13:30:11,5,11014253,1,237740,22, 9½,120.0,120.0,,0F01051014,1,1.0
171,3D0000017915,3D01013801,2018-05-06 00:00:00,2018-05-06 13:32:16,33,10919617,1,224699,22,11,45.0,45.0,,3D01013801,1,1.0
172,2I0000000254,2I01000175,2018-05-06 00:00:00,2018-05-06 13:36:59,28,10976182,1,232724,22,11,150.0,150.0,,2I01000175,1,1.0
173,AF0000032528,AF01022247,2018-05-06 00:00:00,2018-05-06 13:37:19,5,10972595,1,232251,22, 7½,160.0,144.0,,AF01022247,1,1.0
174,3D0000017916,3D01013802,2018-05-06 00:00:00,2018-05-06 13:39:19,33,11021898,1,238813,22, 9½,130.0,130.0,,3D01013802,1,1.0
175,2F0000005186,2F01003788,2018-05-06 00:00:00,2018-05-06 13:39:48,25,11021847,1,238809,22,10,170.0,170.0,,2F01003788,1,
176,2F0000005187,2F01003788,2018-05-06 00:00:00,2018-05-06 13:39:48,25,10996559,1,235468,22,10,130.0,110.5,,2F01003788,1,
177,2I0000000255,2I01000177,2018-05-06 00:00:00,2018-05-06 13:43:33,28,10982319,1,233547,22, 9,128.0,128.0,,2I01000177,1,1.0
178,2I0000000256,2I01000177,2018-05-06 00:00:00,2018-05-06 13:43:33,28,11005373,1,236811,22, 9,158.0,158.0,,2I01000177,1,1.0
179,2F0000005193,2F01003790,2018-05-06 00:00:00,2018-05-06 13:44:15,25,11027051,1,239562,22, 9,128.0,128.0,,2F01003790,1,1.0
180,2F0000005194,2F01003790,2018-05-06 00:00:00,2018-05-06 13:44:15,25,11027109,1,239561,22, 9,128.0,128.0,,2F01003790,1,1.0
181,AF0000032535,AF01022253,2018-05-06 00:00:00,2018-05-06 13:52:10,5,10875764,1,218247,22, 9½,115.0,115.0,,AF01022253,1,1.0
182,AF0000032536,AF01022253,2018-05-06 00:00:00,2018-05-06 13:52:10,5,10982319,1,233547,22, 9,128.0,128.0,,AF01022253,1,1.0
183,2I0000000258,2I01000179,2018-05-06 00:00:00,2018-05-06 13:56:21,28,10954881,1,229860,22,12,158.0,158.0,,2I01000179,1,1.0
184,0F0000074724,0F01051027,2018-05-06 00:00:00,2018-05-06 13:57:56,5,10932186,1,226494,22, 9,45.0,45.0,,0F01051027,1,1.0
185,0F0000074743,0F01051039,2018-05-06 00:00:00,2018-05-06 14:21:30,5,11016760,1,238123,22,11½,140.0,140.0,,0F01051039,1,1.0
